buoy_id,timestamp,lat,lon,speed_kn,course_deg,in_area
MGO176384,2025-11-04 03:19:00.000000000,-3.593333,7.6455,0.3,181.7,False
MGO178918,2025-11-04 03:19:00.000000000,-2.341667,9.411,0.0,326.3,False
MGO176391,2025-11-04 03:17:00.000000000,-4.241833,8.027667,0.2,117.9,False
MGO176526,2025-11-04 03:17:00.000000000,-5.107,8.888833,0.3,139.9,False
MGO176336,2025-11-04 03:16:00.000000000,-4.279,7.86,0.3,112.9,False
MGO176263,2025-11-04 03:16:00.000000000,-5.281333,9.889667,0.3,149.1,False
MGO176467,2025-11-04 03:10:00.000000000,-5.333167,10.299333,0.1,92.5,False
MGO176255,2025-11-04 03:07:00.000000000,-2.6475,8.325833,0.3,204.0,True
SLX+544747,2025-11-04 03:06:00.000000000,-2.00232,8.11308,0.85,189.0,False
MGO198870,2025-11-04 03:04:00.000000000,-3.889,9.244667,0.4,283.1,False
MGO176462,2025-11-04 03:04:00.000000000,-3.855,8.725,0.1,347.4,False
MGO184186,2025-11-04 02:58:00.000000000,-5.77,10.689833,0.1,0.0,False
MGO198882,2025-11-04 02:51:00.000000000,-2.6655,9.413167,0.0,206.6,False
MGO196407,2025-11-04 02:50:00.000000000,-1.733,8.085833,0.9,165.9,False
MGO184199,2025-11-04 02:45:00.000000000,-4.233667,10.472167,0.4,339.2,True
MGO176595,2025-11-04 02:45:00.000000000,-4.5955,10.167333,0.1,132.6,True
SLX+527021,2025-11-04 02:42:00.000000000,-2.87227,8.22065,0.34,224.0,False
MGO174817,2025-11-04 02:41:00.000000000,-3.2095,10.092833,0.0,243.4,False
MGO190082,2025-11-04 02:36:00.000000000,-2.281333,8.929833,0.3,250.6,False
MGO183926,2025-11-04 02:36:00.000000000,-1.384,8.3555,0.6,164.4,False
MGO174816,2025-11-04 02:26:00.000000000,-2.924167,9.8005,1.1,318.8,False
MGO191576,2025-11-04 02:18:00.000000000,-1.539667,8.516667,1.0,154.2,False
MGO133435,2025-11-04 02:11:00.000000000,-4.602333,10.129667,0.2,280.2,False
MGO174828,2025-11-04 02:06:00.000000000,-4.730833,9.667333,0.1,60.6,False
MGO198689,2025-11-04 02:05:00.000000000,-1.454667,8.587667,0.6,154.8,False
MGO178982,2025-11-04 02:00:00.000000000,-2.634,9.502833,0.7,300.1,False
MGO198527,2025-11-04 01:58:00.000000000,-1.408833,8.353333,0.7,173.1,False
MGO176608,2025-11-04 01:56:00.000000000,-5.970833,10.7625,0.2,245.3,False
SLX+544741,2025-11-04 01:55:00.000000000,-2.18838,7.86227,0.78,189.0,False
MGO184371,2025-11-04 01:46:00.000000000,-4.531333,9.695667,0.1,153.1,False
SLX+526979,2025-11-04 01:46:00.000000000,-2.7531,8.5445,0.43,233.0,True
MGO176470,2025-11-04 01:39:00.000000000,-4.848667,8.631,0.3,136.8,False
MGO174812,2025-11-04 01:15:00.000000000,-4.975333,10.906833,0.2,276.4,False
MGO174809,2025-11-04 01:13:00.000000000,-3.5275,7.239167,0.3,144.0,False
MGO184369,2025-11-04 01:06:00.000000000,-5.9915,10.502667,0.1,143.3,False
MGO184291,2025-11-04 01:05:00.000000000,-2.035667,7.738833,0.4,227.3,False
MGO184179,2025-11-04 01:05:00.000000000,-3.1635,9.976,0.0,225.0,False
MGO184222,2025-11-04 01:05:00.000000000,-3.918167,10.8695,0.0,53.1,False
MGO179041,2025-11-04 01:04:00.000000000,-2.455,9.2515,0.3,220.8,False
MGO174216,2025-11-04 00:58:00.000000000,-5.404833,9.584833,0.3,122.1,False
MGO199125,2025-11-04 00:57:00.000000000,-5.278167,10.838333,0.3,331.2,False
SLX+527056,2025-11-04 00:28:00.000000000,-4.6978,7.03332,0.38,139.0,False
MGO198526,2025-11-04 00:24:00.000000000,-1.811167,8.110833,0.8,170.5,False
MGO133361,2025-11-04 00:13:00.000000000,-5.388833,9.949,0.4,172.5,False
MGO199106,2025-11-04 00:01:00.000000000,-3.268,10.2445,0.0,45.0,False
MGO199103,2025-11-03 23:55:00.000000000,-1.704167,8.7815,0.4,119.8,False
MGO179119,2025-11-03 23:46:00.000000000,-2.4245,9.2905,0.0,251.5,False
MGO184082,2025-11-03 23:27:00.000000000,-4.819833,8.455667,0.4,137.7,False
MGO184177,2025-11-03 23:24:00.000000000,-3.5,10.4845,0.6,316.2,False
MGO177429,2025-11-03 23:22:00.000000000,-2.729,8.147,0.4,270.4,False
MGO184301,2025-11-03 23:21:00.000000000,-3.970333,9.535333,0.2,290.5,False
MGO184110,2025-11-03 23:19:00.000000000,-4.332,9.556833,0.2,130.4,False
MGO176384,2025-11-03 23:17:00.000000000,-3.5765,7.646,0.2,187.4,False
MGO176526,2025-11-03 23:17:00.000000000,-5.094167,8.878167,0.2,166.7,False
MGO176391,2025-11-03 23:16:00.000000000,-4.235667,8.015667,0.1,128.7,False
MGO176263,2025-11-03 23:16:00.000000000,-5.265833,9.880333,0.2,166.3,False
MGO176336,2025-11-03 23:16:00.000000000,-4.2715,7.842167,0.3,135.1,False
MGO176467,2025-11-03 23:11:00.000000000,-5.333,10.2955,0.3,172.5,False
MGO176255,2025-11-03 23:08:00.000000000,-2.627667,8.334667,0.3,207.0,True
MGO198870,2025-11-03 23:05:00.000000000,-3.895333,9.272,0.4,269.6,False
MGO176462,2025-11-03 23:04:00.000000000,-3.861667,8.7265,0.1,285.6,False
MGO184186,2025-11-03 22:58:00.000000000,-5.775667,10.689833,0.2,291.7,False
MGO196407,2025-11-03 22:50:00.000000000,-1.674167,8.071,1.0,165.4,False
