Name,LastTX TimeStamp,Latitude,Longitude,SOG,COG
MGO174828,01-11-2025 14:06,-4.7545,9.811167,0.2,49.4
MGO174816,01-11-2025 14:26,-4.129,10.4245,0.9,337.8
MGO174817,01-11-2025 14:41,-3.209333,10.093,0,321.4
MGO176595,01-11-2025 14:45,-4.567167,10.257333,0.1,82.4
MGO176608,01-11-2025 13:56,-5.736833,10.8125,0.3,158.3
MGO190082,01-11-2025 14:36,-2.512167,9.2865,0.6,316.2
MGO198882,01-11-2025 14:45,-2.769333,9.547667,0.3,312.8
MGO198870,01-11-2025 15:04,-3.948667,9.689667,0.3,270.4
MGO184110,01-11-2025 15:19,-4.2705,9.601,0.1,0
MGO184082,01-11-2025 15:27,-4.737,8.440333,0.1,352.6
MGO184177,01-11-2025 15:25,-3.897,10.884667,0,243.4
MGO184186,01-11-2025 14:58,-5.702333,10.780333,0.3,139.2
MGO184301,01-11-2025 15:20,-3.930667,9.609,0.1,164.8
MGO176255,01-11-2025 15:07,-2.507667,8.512167,0.3,315.7
MGO176263,01-11-2025 15:16,-5.156167,9.8185,0.3,79.8
MGO176384,01-11-2025 15:17,-3.352667,7.8075,0.2,239.3
MGO176391,01-11-2025 15:16,-4.146833,7.94,0.2,50.5
MGO176462,01-11-2025 15:04,-3.843833,8.785667,0.1,75.7
MGO176467,01-11-2025 15:10,-5.128333,10.281667,0.3,120.1
MGO176526,01-11-2025 15:17,-5.054,8.8415,0.3,42
MGO176724,01-11-2025 15:13,-3.456167,7.237833,0.2,204.6
MGO177429,01-11-2025 15:22,-3.14,8.339333,0.5,5.9
MGO179119,01-11-2025 15:47,-2.424333,9.290333,0,135
MGO133361,01-11-2025 16:13,-5.207333,9.921,0.5,93.1
MGO133384,01-11-2025 15:55,-6.473833,10.3355,0.4,192.9
MGO199106,01-11-2025 16:01,-3.268167,10.244333,0,0
MGO174216,01-11-2025 16:58,-5.398667,9.442667,0.4,65.7
MGO174809,01-11-2025 17:12,-3.377167,7.274667,0.2,221.7
MGO174812,01-11-2025 17:13,-5.116,11.034,0.1,69.5
MGO133352,01-11-2025 17:23,-1.783833,7.923167,0.5,336.1
MGO183921,01-11-2025 17:02,-6.1155,10.8355,0.2,159.3
MGO184179,01-11-2025 17:04,-3.3435,10.156667,0.4,315.6
MGO184222,01-11-2025 17:05,-3.918,10.87,0,60.2
MGO184291,01-11-2025 17:05,-2.220833,8.081333,0.8,333.2
MGO184369,01-11-2025 17:07,-5.783167,10.556,0.2,139.6
MGO184371,01-11-2025 17:46,-4.504333,9.7715,0.2,34.5
MGO176470,01-11-2025 17:39,-4.751667,8.652833,0.2,54.2
MGO196968,01-11-2025 17:08,-6.405667,10.249833,0.4,173.2
MGO199125,01-11-2025 16:57,-5.402,10.954167,0.1,136.1
MGO190082,01-11-2025 18:36,-2.496167,9.2625,0.4,303.7
MGO198882,01-11-2025 18:44,-2.755833,9.532333,0.3,311.4
MGO178982,01-11-2025 18:00,-3.076667,10.109333,0.7,298.6
MGO184199,01-11-2025 18:45,-4.5105,10.692833,0.1,291.3
MGO133427,01-11-2025 17:51,-5.407167,9.708167,0.4,74.9
MGO133435,01-11-2025 18:12,-4.614167,10.411333,0.1,49.4
MGO174828,01-11-2025 18:07,-4.749833,9.8075,0.1,321.9
MGO174815,01-11-2025 18:27,-4.626667,8.175833,0.2,49.9
MGO174816,01-11-2025 18:26,-4.066,10.401833,1,340.3
MGO174817,01-11-2025 18:41,-3.209333,10.093,0,0
MGO176595,01-11-2025 18:44,-4.561833,10.267167,0.2,61.5
MGO176608,01-11-2025 17:56,-5.756,10.817167,0.3,166.4
MGO198870,01-11-2025 19:04,-3.9395,9.671167,0.3,296.4
MGO184110,01-11-2025 19:20,-4.261667,9.602,0.1,6.4
MGO184082,01-11-2025 19:27,-4.7265,8.449,0.2,39.4
MGO184177,01-11-2025 19:25,-3.896667,10.884833,0,26.6
MGO184186,01-11-2025 18:58,-5.716667,10.784667,0.2,163.3
MGO184301,01-11-2025 19:21,-3.9295,9.6135,0.1,75.4
MGO176255,01-11-2025 19:07,-2.499667,8.514333,0.1,16.2
MGO176263,01-11-2025 19:16,-5.159333,9.828,0.2,109.4
MGO176384,01-11-2025 19:17,-3.360167,7.797667,0.2,232.6
MGO176391,01-11-2025 19:16,-4.151667,7.947833,0.1,121.7
MGO176462,01-11-2025 19:04,-3.838833,8.784,0.1,341.6
MGO176467,01-11-2025 19:10,-5.138333,10.286,0.2,156.7
MGO176526,01-11-2025 19:17,-5.042,8.864167,0.4,62
MGO176724,01-11-2025 19:12,-3.464333,7.226667,0.2,233.8
MGO177429,01-11-2025 19:22,-3.119333,8.340667,0.3,3.7
MGO178918,01-11-2025 19:10,-2.341167,9.410667,0,315
MGO179119,01-11-2025 19:47,-2.424333,9.290667,0,90
MGO199106,01-11-2025 20:02,-3.268167,10.244333,0,0
MGO133361,01-11-2025 20:13,-5.214833,9.943167,0.4,108.8
MGO133384,01-11-2025 19:54,-6.5045,10.336,0.5,179.1
MGO176470,01-11-2025 21:39,-4.740667,8.651667,0.2,354
MGO174809,01-11-2025 21:12,-3.3805,7.2695,0.1,237.1
MGO174812,01-11-2025 21:14,-5.1125,11.038167,0.1,51.2
MGO174216,01-11-2025 20:58,-5.392333,9.456333,0.2,65
MGO183921,01-11-2025 21:02,-6.129333,10.835333,0.2,180.7
MGO184179,01-11-2025 21:04,-3.327667,10.1455,0.3,324.9
MGO184222,01-11-2025 21:07,-3.918167,10.868667,0,262.9
MGO184291,01-11-2025 21:05,-2.172667,8.071333,0.7,348.3
MGO184369,01-11-2025 21:07,-5.7975,10.559833,0.2,165.1
